sense_1,sense_2,mark
или Приступить к действию,Проявить первые признаки действия или состояния,0
расходящийся,рассеивающий,0
берлога, логовище,0
кооператив,кооперативная организация жилищно строительный кооператив ремесленный кооператив,0
стараться напрягать все силы,испытывать свои силы на чём л,0
рвота,рвотная масса блевотина,0
записываться,переписываться,0
прямой,прямая кишка,0
вокальное упражнение упражнение в пении,напев,0
соединение скрепление сцепление,соединение объединение,0
соревнование,соревновательный соревновательный метод соревновательные начала вступить в соревнование соревноваться с кем л выиграть соревнование проиграть соревнование вызывать на соревнование,0
город в Элиде,жители этого города,0
интенсивность,интенсифицировать,0
смешение смесь мешанина,примесь,0
безжалостный, немилосердный,0
излагать кратко пересказывать напр содержание рассказа,излагать содержание чего,0
адмирал,адмирал,0
сырость земли влажность почвы,сырая земля влажная почва,0
заселить,поселить,0
в разн получать,быть возможным доступным для получения,0
воздушный тормоз,пневматический тормоз,0
последний,конечный,0
подарить преподнести подарок,одарить свадебным подарком,0
уравнивание выравнивание напр цен,стабилизация нормализация положения,0
тонкая шерстяная ткань,подкладочная ткань,0
Лирическое стихотворение особой формы получившее широкое распространение в итальянской и провансальской поэзии средних веков и эпохи Возрождения,Лирическая песня восходящая к итальянской народной песне,0
индикатор указатель,указатель книг,0
отправить ся в путь,попутешествовать постранствовать,0
собственник,хозяин,0
трата,тратить,0
тяготеть,подавлять,0
тяготеть,притягательный,0
Разрыв сложившихся отношений,Разрыв отношений между друзьями или родственниками,0
обмахивать опахивать напр веером,махать,0
растягивать вытягивать,распускать пояс,0
дребезжать,бренчать тренькать,0
намёк [רֶמֶז],намекать  [רָמַז],0
штаб,группа управления,0
исповедь,кабинка исповедника исповедальня,0
свистать свистеть свистнуть свиристеть,свистнуть хватить свистнуть стибрить стрекануть стрекнуть,0
Камень в земле или на дне водоёма слипшийся с землёй песком и тп,гравий галька,0
заклепочный шов,постановка заклепок,0
стягивать стаскивать,стягивать стаскивать тащить волоком,0
рубец шрам,рубец,0
заметить когочто,обратить внимание на когочто отметить заметить когочто,0
прибор,электроприбор,0
По ширине в ширину вдоль,предлог Указывает на направленность действия по ширине Поперек канавы лежат мостки для пешеходов,0
пронизывать пронизать пронимать пронять,пронизывать пронизать,0
свет,огни,0
картофель,картофельный,0
прибавлять прибавить,прибавляться прибавиться,0
четырёхугольный четырехугольный параллелограмм четырехугольная пирамида четырехугольная площадка,четырёхугольник правильный четырехугольник внутренние углы четырехугольника диагонали четырехугольника построить четырехугольник,0
разрезать разрезать разрезать хлеб,изрезать изрезывать,0
солнце центральная планета других планетных систем,выставлять на солнце подвергать действию солнца,0
подписчик подписчики журнала,абонентский абонентская линия абонентская установка абонентский трансформатор,0
ухитряться,юлить,0
лобный,лобная кость,0
обливать,обливаться,0
сажать насаждать деревья,посаженное растение деревцо,0
лицо особа персона,личность индивидуальность,0
заблаговременно обдумывать или решать предусматривать,печься заботиться о чьих л интересах,0
консул в и гг до н э умер цензором в до н э вёл успешные сражения с самнитами сабинянами и Пирром слыл образцом староримской простоты,участник заговора Катилины выдавший своих соучастников,0
золотниковая коробка,распределительная коробка,0
золотниковая коробка,раздаточная коробка,0
сотрудничество,взаимодействие,0
сделанный из прутьев плетёный,пригодный для плетения дающий гибкую лозу,0
а сжатие зажатие сжимание,б защемление,0
скирд,стог,0
привлекать людей притягивать людей,привлекательный привлекающий людей интересный захватывающий,0
Зенобио Зенобия Зеновий Зиновий муж имя,Зенобия астероид,0
завязывание узелка на уголке платка,узелок с деньгами,0
прорастать распускаться давать ростки почки побеги,всходить о п ев распускаться о растениях,0
эстетический,относящийся к эстетике эстетическая программа эстетическая категория эстетическая теория,0
аутентичность,самобытность,0
наивность,простодушие,0
делитель,делитель делительное устройство делительная головка разделительная цепь,0
сушить просушивать на ветру под электрическим веером,электрический вентилятор фен,0
дневная выработка,суточная производительность,0
таинство мистерия,секрет молчите нечто непонятное,0
шерсть,волосяной покров млекопитающих овечья шерсть руно весенняя шерсть прясть шерсть,0
Пуговица пуговка,Пуговка разг,0
банковская тайна,банковский секрет,0
мощь сила,мужество отвага смелость,0
нагревание нагрев метод нагревания непосредственное нагревание периодическое нагревание вторичное нагревание местное нагревание,нагревательный нагревательная печь нагревательный колодец,0
дочерин дочерний,девичий,0
изнашивать,снашивать,0
дополнение добавление,дополнение,0
измерять мерить себя измерять мерить себе,мериться силами,0
Внешний вид или звук судорожного или затруднённого быстрого и частого дыхания,Внешний вид спадающей слетающей или соскальзывающей с ноги большой по размеру обуви,0
взрывной взрывной механизм взрывное устройство,взрывчатый производящий взрыв способный взорваться взрывчатые материалы взрывчатая пыль,0
засвидетельствовать подпись,свидетельствовать подпись,0
Сильно вспотеть выделить обильный пот,Стать влажным от обильного выделения пота пропитаться потом,0
тара,короб,0
"качаться, покачиваться  [הִתנַדנֵד]",колебаться [הִתנַדנֵד],0
сильный крепкий,крепкий прочный,0
диффузионная ионизирующая камера,диффузионная камера,0
распахивать новь поднимать целину,начинать новое дело приступать к исследованию,0
вахта дозор,караулить стоять на вахте быть начеку,0
аксиальный зазор,осевой зазор,0
паразитарный,паразитический,0
мерный пост,пункт наблюдения,0
пачкать периодически,пачкаться,0
дитя родителей разных национальностей,метис,0
атомное судно,атомный корабль,0
перемещать перестанавливать перекладывать передвигать,перемещать переводить по службе,0
распухать,припухать,0
предубеждение,предвзятая мысль,0
водосборная галерея,каптажный коллектор,0
сон сновидение,сон дрема,0
Выражение в форме встречного вопроса употребляемое с целью резкого опровержения какоголибо факта,Выражение употребляемое для передачи сильного несогласия говорящего с чемлибо или сомнения в истинности какоголибо утверждения,0
запускать,впускать,0
переход на десятичную систему исчисления,переход на метрическую систему мер,0
образовать яму воронку где обычно о действии внешних сил,рыть вырыть яму углубление где,0
устройство,оборудование,0
хранилище,размещение,0
скользящий,скольжение,0
апанаж удел,удел достояние,0
ошеломлять,потрясать,0
масонский масонская ложа,масон,0
администратор,руководитель,0
резать разрезать отрезать,рассекать,0
сообразительность смышлёность понятливость сметливость способность,находчивость,0
выстрелить,израсходовать патроны снаряды,0
поставить,стоять,0
судебный,юстиция,0
судебный,судопроизводство,0
что начать струить лить струею источать,заиграть струями объярью,0
употр с во домашняя птица,мясо домашней птицы,0
дальность,путь,0
НИЗАТЬ низывать что на что вздевать несколько вещей подряд на нитку проволоку на вилку спичку Слез не низать не ожерелье собрать,Низанье низанный убор всякая низанная бисерная работа,0
Неизвестный по имени не подписавший своего имени,Не имеющий указания на автора без имени автора,0
горбатый,горбун горбатый,0
гурьба,толпа,0
печеночные мхи,моховой,0
чтение умение читать навыки в чтении правила чтения художественное чтение культура чтения,читальный читальный зал читальня,0
чувствовать ощущать,чувствовать понимать сознавать,0
щепка доска деревяшка,палка палочка,0
память,воспоминание о ком о чём л обычно об умершем приятное воспоминание светлая память о ком увековечить память кого чью посвятить памяти чьей кого что,0
молния,молнии ударяют,0
моральный долг требование этики,высокая нравственность и чувство долга,0
член участник съезда конгресса,член парламента,0
УЯСНЯТЬ уяснить что освещать просветлять озарять вещь светом,Делать ясным понятным доступным уму толковать изъяснять объяснять,0
давать подавать вручать предоставлять,передавать переводить,0
биржевой курс,обменный курс,0
праздничная музыка гл обр в синтоистских храмах,оркестр японских народных инструментов флейта флажолет барабан,0
сознаваться в признавать,признавать в ком либо своего сеньора,0
было отрапортовано было сообщено [דוּוַח],передавать сообщение [דִיווַח],0
пучок волос,косичка,0
тактичность,деликатность,0
строительство,строительство построение становление строение структура,0
город в Нижнем Египте к сев вост от Мемфиса с храмом богу солнца,город в Келесирии,0
бегство,изгнание,0
выжимание выдавливание выжимка,стискивание сжимание,0
созреть поспеть отлежаться,вызреть назреть,0
активность,предприимчивость,0
выводить гулять прогуливать,идти шагом,0
произносить слова благоприятного значения т е воздерживаться от неподобающих слов не кощунствовать или хранить благоговейное молчание,издавать радостные крики,0
фонд денежные средства,фонд ресурсы запасы чего либо,0
мускул мышца мускульный мышечный,в сложных терминах биология медицина соответствует приставке мио например,0
выражать показывать проявлять вскрывать делать очевидным,родовая морфема в названиях а измерительных приборов имеющих деления метр б таблиц индексов,0
речь доклад выступление,болтовня,0
переспрашивать,требовать обратно,0
договаривать,выговариваться,0
отделяться обособляться,отстраняться от дел оставлять должность,0
рис со своего поля непокупной рис,рис высшего качества,0
критик рецензент,упрёк осуждение,0
топография топографическая съёмка,топографическая анатомия,0
комок,большое крупное,0
задолжать задолженность,проценты по ссуде банкирской конторе Шанхай,0
конвейер,конвейерная машина,0
цветок сплетённый из верёвки,протереться износиться истрепаться прохудиться,0
год рождения люди одного года рождения год призыва призывной контингент призывники,годовой комплект,0
глупенький милый при мягком упреке удивлении,в качестве эвфемизма,0
в прошлом в прежние времена в тот год в то время,прошлый год,0
чинный,собранный,0
трубить,звучать,0
объяснение разъяснение,решение разрешение напр проблемы урегулирование конфликта,0
бесконечность,бесчисленное множество,0
недействительный кассационный,сбивчивый перепутанный,0
выкачка,демонстрация,0
загрузочная платформа,сложный блок,0
морковный,морковный,0
спрашивать расспрашивать кого л о чем л задавать вопросы о чем л допытываться дознаваться у кого л о чем л,вопрос проблема также счётное слово для задач проблем,0
ассигновать,отчислять,0
парная струна,двужильный провод,0
мутный,затуманенный потускневший о блестящей прозрачной поверхности,0
мотор машина преобразующая любой вид энергии в механический двигатель электрический мотор тракторный мотор включить завести мотор глушить мотор,моторный моторное масло моторное топливо моторный гул,0
кочевник,бродяга странник любитель перемены мест,0
уменьшать сокращать,смягчать,0
награждение,награда отличие,0
конец окончание,терм член силлогизма,0
принимать принять,у кого он подхватил ету чужую мысль,0
укреплять,совершенствоваться,0
чертополох,колючка шип,0
булочные изделия,хлебопекарные изделия,0
ощущение восприятие,сенсация,0
волнообразное движение колебание,волнистая поверхность волнистость,0
волнообразное движение колебание,волнистая поверхность волнистость,0
сообщение донесение,красноречие слог,0
Свойство по популярный в знач,Известность широкое внимание общественные симпатии к кому Пользоваться широкой популярностью,0
умиротворить внести мир и порядок,утвердиться в порядке умиротвориться наслаждаться миром и порядком мирный спокойный,0
закрывать агентство,распускать агентство,0
РАЗЪЕЗЖАТЬ ездить туда и сюда почасту и по разным местам раскатывать гонять,Разъезд мережи вентера раструб поперечник большой катели,0
алчный,жадный,0
сбегать устремляться быстро спускаться сходить вниз,идти двигаться следовать,0
наблюдать следить следить за политикой наблюдать следить за светилами,назначать кому,0
прачечный прачечное заведение,стиральный стиральная машина стиральный порошок,0
гуманный человеколюбивый добрый милосердный человечный,только с отрицанием,0
проникающий пропитывающий,вкрапленный,0
хитрый,смышлёный,0
собирать сосредоточивать концентрировать в одном месте скучивать скучить складывать стаскивать сгребать в кучу,копить скопить накапливать накопить собирать впрок запасать запасти приобретать сберегая или иным способом,0
Соединительное окончание предиката указывающее на наличие желания или намерения выполнить какоелибо действие,Выражение указывающее на сомнение или встречный вопрос по поводу сложившегося положения дел,0
битва, сражение,0
без пряжки застёжки,без пояса без ремня,0
перемещение переход,модуляция,0
горные кряжи откуда идут ручьи речки,Место на речке и заведение где шерсть перепускается набело,0
храбрый,лихость,0
пропитывать,насыщать,0
человечность гуманность человеколюбие показать проявить человечность,человечество человеческий род служить человечеству думать обо всем человечестве,0
Уничтожить истребить огнем сильным жаром а также едким веществом,Получить изготовить путем пережигания обжигания материала,0
возвещать,извещать,0
округлость,окрестности,0
скрытый порок,скрывать прятать,0
связывание,оковы узы,0
выращивать,подготовить,0
выравнивать выровнять выровнить спрямлять спрямить,поправлять поправить исправлять исправить подправлять подправить переправлять переправить рихтовать юстировать,0
желтизна жёлтый цвет желтый оттенок чего л,жёлтая окраска кожи сопровождающая некоторые заболевания печени,0
закругленная окантовка,округлая окантовка,0
разрушать сносить,развалить,0
окуляр в оптическом приборе стекло обращённое к глазу наблюдателя,окулярный окулярная линза,0
публичное оглашение,публичное восхваление,0
провожать следовать,сопровождать сопутствовать,0
благожелательность,терпимость,0
равнодушный безразличный безучастный,выражающий равнодушие равнодушный взгляд равнодушные глаза равнодушным тоном равнодушное сердце равнодушное безразличное отношение,0
приносить привозить носить,руководить направлять,0
самобытность оригинальность отличаться самобытностью,своеобразие своеобразность необычность национальное своеобразие своеобразие исторической обстановки своеобразие языка,0
образец фасон модель,вид образ мина поза видимость,0
небольшое сбережение,денежные накопления деньги накапливающиеся на личном счету,0
ИЗБИВАТЬ избить что кого исхлестать исколотить измять ударами нанести побои измочалить истрепать говоря о многих людях или животных побить больно или убить до смерти всех перебить,Обрезки говяжьи при разделе туши,0
условная плата владельцу за содержание в своем хозяйстве населенного имения его или земли заведения завода наймы откуп кортом кортома оброк съем брозга,Выдаваемый заместо того правительством как это у нас ныне делается срочный доход,0
остаться у кого,быть при глагольных формах на ен ён,0
обвивать наматывать,запутывание,0
сахарный сироп,сок сахарного тростника,0
нжих ийн йлд л давать возможность провести,оставлять под пар землю пашню,0
существование,личность,0
достойный уважения почтенный,скромный целомудренный,0
возвышение,восхваление превозношение,0
обидеться,глубоко задуматься,0
обернуть повернуть поворотить обратить,превратить обратить обернуть,0
двигать, шевелить,0
содрогание,колебание нерешительность,0
связь состыковывание сцепление,логичность последовательность обоснованность,0
связь,сцепка сцепление прицепка,0
горная местность горный,поле в горах участок на горе,0
внесение задатка,выдача аванса,0
исповедание,исповедовать,0
лоцман специалист по проводке судов хорошо знающий местные условия плавания морской лоцман речной лоцман портовый лоцман,лоцманский лоцманская должность лоцманские сигналы,0
что бранить хулить хаять,Укорять попрекать друг друга взаимно,0
орденская лента,отличие высокая награда,0
прелестный чудный необыкновенный выдающийся,такой подобный в такой степени так,0
товарищ собрат по оружию однополчанин,соратник,0
стараться,ухаживать за кем,0
ходячее выражение,жаргон,0
смущать приводить в замешательство смущение конфузить обескураживать,волновать не давать покоя кому л нарушать смущать покой чей л,0
вступать входить подниматься на трибуну,вступать появляться входить,0
производить в следующий чин продвигать повышать,способствовать содействовать поощрять,0
развёрстывать,перераспределение,0
группа гурьба ватага толпа орда,группой гурьбой толпой ватагой,0
Такой о котором или которого не знают незнакомый,Не пользующийся признанием успехом известностью,0
Образоподражательное слово характеризующее непрерывно обманывающий коголибо вид коголибо кто говорит льстивые слова добиваясь чьеголибо расположения,Образоподражательное слово характеризующее постоянно бездельно бродящий или маячащий вид,0
торговая наценка,торговая скидка,0
брать под опеку опекать кого что,ограничивать,0
неизвестный,искомый неизвестное слагаемое неизвестная величина,0
присоединяясь к переходным глаголам а придаёт им значение предельности действия судить оценивать,присоединяясь к непереходным глаголам превращает их в глаголы переходные придавая им значение целенаправленности действия населять,0
НАКОЖНЫЙ на поверхности тела на коже тела находящийся,раны прорезы дыры и порча на снятой со скотины шкуре,0
положить класть поместить,садить сажать посадить высадить,0
интерес важность значение польза,участие внимание сочувствие забота,0
обрыв,крутой обрывистый высокий берег,0
прясть плести сплетать,связывать вязать,0
низина низменность,низменный низинный низкий,0
боевой клич сигнал к сражению,боеспособная или воюющая часть народа т е войско,0
близлежащие окрестные деревни,окрестности пригород пригородные районы,0
высота,протяженность по вертикали снизу вверх высота здания высота потолка высота горы,0
высота,вышина,0
сбегаться,группировка,0
сточные воды,сточная канава,0
страдающий малярией малярийный больной,являющийся очагом малярии малярийные места,0
открытый контракт который позволяет покупателю делать закупки по условиям и ценам не изменяемым продавцом,договор без оговоренного срока действия бессрочный договор,0
оснастка парусное вооружение рангоут и такелаж,буровая установка,0
вооружение,обычно оружие боеприпасы вооружение,0
очистка сточных канав,рабочий занимающийся очисткой канав,0
разметка,ознаменоваться,0
сбрасывание метание,бросок выброс,0
убить умертвить казнить обезглавить отрубить голову,казнить и выставить труп казнённого,0
рыбная ловля рыболовство рыбный промысел,место ловли рыбы и других морских животных,0
рыбная ловля рыболовство рыбный промысел,предприятие по разведению рыбы и других морских животных рыбоводческое хозяйство,0
сбегать сбежать убегать убежать утекать утечь удирать удрать,избегать избегнуть чего л спасаться спастись от чего л,0
скрыться затаиться,жить в уединении,0
жаргон,жаргонный,0
карать идти карательным походом,казнить преступника наказывать взыскивать,0
противный противоречащий чему л противный закону противный истине противный совести противный морали,оппозиционный находящийся стоящий в оппозиции оппозиционные силы,0
храбрый отважный,герой бога тырь,0
стройный,стройность,0
отделить выделить,получать извлекать пользу прибыль,0
машинный,автоматический напр пистолет,0
подспорье замена хлебу,закваска,0
защита прикрытие от пуль,щиток броня для защиты от пуль,0
уменьшать уменьшить делать меньше,уменьшать уменьшить,0
поднимать торчком топорщить,шевеление,0
разрушенный уничтоженный разрушенный город,разорённый разорённая страна,0
грушевый,грушевый сад,0
безнравственный,распущенный,0
легкий легковесный,небольшой короткий,0
произносить,изложить дело,0
Нести понести относить отнести носить сносить снести уносить унести переносить перенести проносить пронести,Водить вести повести уводить увести отводить отвести проводить провести,0
кратный,кратное,0
соглашение договорённость торговая сделка,товар получаемый в результате заключённой сделки,0
молодой господин барич барчук,Ваш сын,0
упорствовать,врезать дать,0
совещаться обдумывать обсуждать,заботиться,0
молния молния с громом,пучок молний,0
канал пролив,канал канава арык,0
сборка,присоединение,0
дело обстоятельство вопрос предмет,преподавание императору наследному принцу,0
молиться обращаться просьбой мольбой благодарностью к богу святым произносить слова молитвы,молить умолять кланяться униженно просить о чём либо,0
приятный на вкус,мёд,0
уплывать,отход,0
жуткий страшный ужасный вселяющий ужас,роман ужасов,0
приобретение благоприобретение обзаведение снискание,приобретение благоприобретение,0
вычисление исчисление счёт смета,исчисление,0
впадина,углубление,0
идти ехать,идти использоваться требоваться уходить,0
второй подписчик,подтверждающий подпись,0
пар,дымиться,0
свежая баранина,свежее козье мясо,0
давить раздавливать расплющивать разминать разрушать ломать портить,сдавать на лом в переплавку переплавлять,0
он отвечал урок заглядывая в книгу,отваживать отвадить кого л,0
глажение утюжение,отглаженная отутюженная вещь,0
закрывать закрыть прикрывать прикрыть крыть покрывать покрыть накрывать накрыть укрывать укрыть прокрывать прокрыть заделывать заделать застилать застлать обволакивать обволочь заслонить заслонить зятягивать затянуть обтягивать обтянуть закутывать закутать накладывать наложить,укрывать укрыть закутывать закутать,0
асимметрический асимметрический анализ асимметрическое строение,асимметричный асимметричное сопротивление асимметричные циклы асимметричный цветок асимметричный венчик,0
вывод,образование,0
группа,преступная группа,0
лежачее толстое дерево бревно или немалый и толстый отрубок срубленое голомя лежачее дерево в лесу,большое корыто грубой обделки для месива и пойла водопойная колода,0
волшебник колдун,фокусник,0
безбрежный широкий необъятный необозримый,непостижимый неисповедимый,0
кормить покормить накормить кого л,обкормить кого л окормить отравить,0
керосин,нефтеносный,0
женский,женского рода,0
а доска на которой режут хлеб,в плоская доска,0
имеющий форму цепи в виде цепочки,состоящий из металлических колец,0
треск стук цоканье цокот хлопанье чиканье,урчание щёкот щёлканье,0
мор вахтенный журнал судовой журнал,ав бортовой журнал,0
учёный мудрый,находчивый изобретательный,0
обещать пообещать наобещать сулить посулить,обязаться,0
Похожий,Выражение соединяющее две части предложения где первая часть указывает на действие или событие в прошлом а во второй части следует отличный от него или противоречащий ему факт,0
Мочить себя, помочиться),0
приписка постскриптум,приписка дополнительная запись,0
примирительный,примиренческий,0
кляча,старьё драндулет,0
знать в лицо узнавать распознавать усваивать,верить доверяться полагаться,0
клеймо тавро,клеймо,0
меняющийся,переводный механизм,0
родиться,порождать,0
Хвалиться похвалиться хвастать хвастаться похвастаться бахвалиться разг,Кичиться чваниться,0
разведение сельскохозяйственных культур выращивание возделывание,приплод потомство,0
фильтр периодического действия,фильтр прерывистого действия,0
довод,аргумент,0
шаловливость,шаловливый,0
приводить привозить,доставлять предоставлять давать,0
поджигать,жечь,0
закармливать,пичкать,0
автомашина на испытательном пробеге,обкатка,0
убежать,уехать рысцой,0
табак,сигарета,0
довод аргумент аргументация,утверждение суждение,0
коммерческая тайна,коммерческий секрет,0
освободить от наказания простить помиловать амнистировать не привлекать к суду,христ простить грехи помиловать,0
брать вверх,взять вверх,0
останавливать,задерживаться,0
учащийся медресе,унизительная кличка духовным лицам,0
пресыщаться объедаться,пресыщение,0
прокричать издать непродолжительный звук мяукнуть проблеять проквакать провизжать,взреветь зареветь заплакать вскрикнуть,0
скреплять,подкреплять,0
орудие чувственного зрения око глазное яблоко шары талы буркала баньки глядела гляделки зенки глаза глазы глазья глазье глазина глазища глазик глазок глазочек,взгляд взор,0
Год коронации нового короля А также следующий год после коронации,Год в котором началось какоелибо новое дело,0
Существовать быть живым,Быть находиться иметься,0
пешеходный,пешеход,0
а собирать,приобретать получать,0
фонд капитал денежные средства,фонд,0
перевыборы,переизбрание,0
присоединённый добавочный,прилагаемые документы приложение,0
продавец за комиссионное вознаграждение,поставщик,0
чистый опрятный,говорить определённо вести себя недвусмысленно,0
жердь шест,кара кура йел ге стрл к карыл к,0
Книжка тетрадь,Счётная книга,0
